Label;Type;Tags;Description;Trial ID;Base Model;Model Configuration;Analysis prompt;Text;Temperature;[Engineer];Timestamp
DNA polymerase;;;;18;BERT;None;;DNA polymerase synthesizes new DNA strands during replication.;1.0;;2025-06-25 03:24:34
new DNA strands;;;;18;BERT;None;;DNA polymerase synthesizes new DNA strands during replication.;1.0;;2025-06-25 03:24:34
replication;;;;18;BERT;None;;DNA polymerase synthesizes new DNA strands during replication.;1.0;;2025-06-25 03:24:34
Mitochondria;;;;19;BERT;None;;Mitochondria produce ATP through cellular respiration processes.;1.0;;2025-06-25 03:24:34
ATP;;;;19;BERT;None;;Mitochondria produce ATP through cellular respiration processes.;1.0;;2025-06-25 03:24:34
cellular respiration processes;;;;19;BERT;None;;Mitochondria produce ATP through cellular respiration processes.;1.0;;2025-06-25 03:24:34
Mitochondria;;;;20;BERT;None;;Mitochondria produce ATP through cellular respiration processes.;1.0;;2025-06-25 03:24:34
ATP;;;;20;BERT;None;;Mitochondria produce ATP through cellular respiration processes.;1.0;;2025-06-25 03:24:34
cellular respiration processes;;;;20;BERT;None;;Mitochondria produce ATP through cellular respiration processes.;1.0;;2025-06-25 03:24:34
Mitochondria;;;;21;BERT;None;;Mitochondria produce ATP through cellular respiration processes.;1.0;;2025-06-25 03:24:34
ATP;;;;21;BERT;None;;Mitochondria produce ATP through cellular respiration processes.;1.0;;2025-06-25 03:24:34
cellular respiration processes;;;;21;BERT;None;;Mitochondria produce ATP through cellular respiration processes.;1.0;;2025-06-25 03:24:34
oxygen;;;;13;BERT;None;;The enzyme catalase breaks down hydrogen peroxide into water and oxygen.;1.0;;2025-06-25 03:24:33
hydrogen peroxide;;;;13;BERT;None;;The enzyme catalase breaks down hydrogen peroxide into water and oxygen.;1.0;;2025-06-25 03:24:33
The enzyme catalase;;;;13;BERT;None;;The enzyme catalase breaks down hydrogen peroxide into water and oxygen.;1.0;;2025-06-25 03:24:33
water;;;;13;BERT;None;;The enzyme catalase breaks down hydrogen peroxide into water and oxygen.;1.0;;2025-06-25 03:24:33
oxygen;;;;14;BERT;None;;The enzyme catalase breaks down hydrogen peroxide into water and oxygen.;1.0;;2025-06-25 03:24:33
hydrogen peroxide;;;;14;BERT;None;;The enzyme catalase breaks down hydrogen peroxide into water and oxygen.;1.0;;2025-06-25 03:24:33
The enzyme catalase;;;;14;BERT;None;;The enzyme catalase breaks down hydrogen peroxide into water and oxygen.;1.0;;2025-06-25 03:24:33
water;;;;14;BERT;None;;The enzyme catalase breaks down hydrogen peroxide into water and oxygen.;1.0;;2025-06-25 03:24:33
oxygen;;;;15;BERT;None;;The enzyme catalase breaks down hydrogen peroxide into water and oxygen.;1.0;;2025-06-25 03:24:33
hydrogen peroxide;;;;15;BERT;None;;The enzyme catalase breaks down hydrogen peroxide into water and oxygen.;1.0;;2025-06-25 03:24:33
The enzyme catalase;;;;15;BERT;None;;The enzyme catalase breaks down hydrogen peroxide into water and oxygen.;1.0;;2025-06-25 03:24:33
water;;;;15;BERT;None;;The enzyme catalase breaks down hydrogen peroxide into water and oxygen.;1.0;;2025-06-25 03:24:33
DNA polymerase;;;;16;BERT;None;;DNA polymerase synthesizes new DNA strands during replication.;1.0;;2025-06-25 03:24:33
new DNA strands;;;;16;BERT;None;;DNA polymerase synthesizes new DNA strands during replication.;1.0;;2025-06-25 03:24:33
replication;;;;16;BERT;None;;DNA polymerase synthesizes new DNA strands during replication.;1.0;;2025-06-25 03:24:33
DNA polymerase;;;;17;BERT;None;;DNA polymerase synthesizes new DNA strands during replication.;1.0;;2025-06-25 03:24:33
new DNA strands;;;;17;BERT;None;;DNA polymerase synthesizes new DNA strands during replication.;1.0;;2025-06-25 03:24:33
replication;;;;17;BERT;None;;DNA polymerase synthesizes new DNA strands during replication.;1.0;;2025-06-25 03:24:33
Attention weights;;;;12;BERT;None;;Attention weights reveal semantic significance. Dynamic focusing adapts to context variations.;1.0;;2025-06-10T21:20:25.308619
Dynamic focusing;;;;12;BERT;None;;Attention weights reveal semantic significance. Dynamic focusing adapts to context variations.;1.0;;2025-06-10T21:20:25.308619
semantic significance;;;;12;BERT;None;;Attention weights reveal semantic significance. Dynamic focusing adapts to context variations.;1.0;;2025-06-10T21:20:25.308619
context variations;;;;12;BERT;None;;Attention weights reveal semantic significance. Dynamic focusing adapts to context variations.;1.0;;2025-06-10T21:20:25.308619
relationship importance;;;;11;BERT;None;;Graph attention networks learn relationship importance. Multi-head mechanisms capture diverse patterns.;1.0;;2025-06-10T21:20:25.308612
Multi-head mechanisms;;;;11;BERT;None;;Graph attention networks learn relationship importance. Multi-head mechanisms capture diverse patterns.;1.0;;2025-06-10T21:20:25.308612
diverse patterns;;;;11;BERT;None;;Graph attention networks learn relationship importance. Multi-head mechanisms capture diverse patterns.;1.0;;2025-06-10T21:20:25.308612
