Label;Type;Tags;Description;Trial ID;Base Model;Model Configuration;Analysis prompt;Text;Temperature;[Engineer];Timestamp
replication;;;;18;BERT;RGAT;Test experiment 2 with rgat;DNA polymerase synthesizes new DNA strands during replication.;0.5;;2025-06-25 03:24:34
DNA polymerase;;;;18;BERT;RGAT;Test experiment 2 with rgat;DNA polymerase synthesizes new DNA strands during replication.;0.5;;2025-06-25 03:24:34
new DNA strands;;;;18;BERT;RGAT;Test experiment 2 with rgat;DNA polymerase synthesizes new DNA strands during replication.;0.5;;2025-06-25 03:24:34
Mitochondria;;;;19;BERT;RGCN;Test experiment 3 with rgcn;Mitochondria produce ATP through cellular respiration processes.;0.5;;2025-06-25 03:24:34
ATP;;;;19;BERT;RGCN;Test experiment 3 with rgcn;Mitochondria produce ATP through cellular respiration processes.;0.5;;2025-06-25 03:24:34
cellular respiration processes;;;;19;BERT;RGCN;Test experiment 3 with rgcn;Mitochondria produce ATP through cellular respiration processes.;0.5;;2025-06-25 03:24:34
Mitochondria;;;;20;BERT;COMPGCN;Test experiment 3 with compgcn;Mitochondria produce ATP through cellular respiration processes.;0.5;;2025-06-25 03:24:34
ATP;;;;20;BERT;COMPGCN;Test experiment 3 with compgcn;Mitochondria produce ATP through cellular respiration processes.;0.5;;2025-06-25 03:24:34
cellular respiration processes;;;;20;BERT;COMPGCN;Test experiment 3 with compgcn;Mitochondria produce ATP through cellular respiration processes.;0.5;;2025-06-25 03:24:34
Mitochondria;;;;21;BERT;RGAT;Test experiment 3 with rgat;Mitochondria produce ATP through cellular respiration processes.;0.5;;2025-06-25 03:24:34
ATP;;;;21;BERT;RGAT;Test experiment 3 with rgat;Mitochondria produce ATP through cellular respiration processes.;0.5;;2025-06-25 03:24:34
cellular respiration processes;;;;21;BERT;RGAT;Test experiment 3 with rgat;Mitochondria produce ATP through cellular respiration processes.;0.5;;2025-06-25 03:24:34
water;;;;13;BERT;RGCN;Test experiment 1 with rgcn;The enzyme catalase breaks down hydrogen peroxide into water and oxygen.;0.5;;2025-06-25 03:24:33
hydrogen peroxide;;;;13;BERT;RGCN;Test experiment 1 with rgcn;The enzyme catalase breaks down hydrogen peroxide into water and oxygen.;0.5;;2025-06-25 03:24:33
The enzyme catalase;;;;13;BERT;RGCN;Test experiment 1 with rgcn;The enzyme catalase breaks down hydrogen peroxide into water and oxygen.;0.5;;2025-06-25 03:24:33
oxygen;;;;13;BERT;RGCN;Test experiment 1 with rgcn;The enzyme catalase breaks down hydrogen peroxide into water and oxygen.;0.5;;2025-06-25 03:24:33
water;;;;14;BERT;COMPGCN;Test experiment 1 with compgcn;The enzyme catalase breaks down hydrogen peroxide into water and oxygen.;0.5;;2025-06-25 03:24:33
hydrogen peroxide;;;;14;BERT;COMPGCN;Test experiment 1 with compgcn;The enzyme catalase breaks down hydrogen peroxide into water and oxygen.;0.5;;2025-06-25 03:24:33
The enzyme catalase;;;;14;BERT;COMPGCN;Test experiment 1 with compgcn;The enzyme catalase breaks down hydrogen peroxide into water and oxygen.;0.5;;2025-06-25 03:24:33
oxygen;;;;14;BERT;COMPGCN;Test experiment 1 with compgcn;The enzyme catalase breaks down hydrogen peroxide into water and oxygen.;0.5;;2025-06-25 03:24:33
water;;;;15;BERT;RGAT;Test experiment 1 with rgat;The enzyme catalase breaks down hydrogen peroxide into water and oxygen.;0.5;;2025-06-25 03:24:33
hydrogen peroxide;;;;15;BERT;RGAT;Test experiment 1 with rgat;The enzyme catalase breaks down hydrogen peroxide into water and oxygen.;0.5;;2025-06-25 03:24:33
The enzyme catalase;;;;15;BERT;RGAT;Test experiment 1 with rgat;The enzyme catalase breaks down hydrogen peroxide into water and oxygen.;0.5;;2025-06-25 03:24:33
oxygen;;;;15;BERT;RGAT;Test experiment 1 with rgat;The enzyme catalase breaks down hydrogen peroxide into water and oxygen.;0.5;;2025-06-25 03:24:33
replication;;;;16;BERT;RGCN;Test experiment 2 with rgcn;DNA polymerase synthesizes new DNA strands during replication.;0.5;;2025-06-25 03:24:33
DNA polymerase;;;;16;BERT;RGCN;Test experiment 2 with rgcn;DNA polymerase synthesizes new DNA strands during replication.;0.5;;2025-06-25 03:24:33
new DNA strands;;;;16;BERT;RGCN;Test experiment 2 with rgcn;DNA polymerase synthesizes new DNA strands during replication.;0.5;;2025-06-25 03:24:33
