From;To;Direction;Label;Type;Tags;Description;Experiment ID;Base Model;Model Configuration;Link;Analysis prompt;Text;Temperature;[Engineer];Timestamp
DNA polymerase;new DNA strands;neutral;;;;;18;BERT;RGAT;synthesize;Test experiment 2 with rgat;DNA polymerase synthesizes new DNA strands during replication.;0.5;;2025-06-25 03:24:34
DNA polymerase;new DNA strands;neutral;;;;;18;BERT;RGAT;synthesize;Test experiment 2 with rgat;DNA polymerase synthesizes new DNA strands during replication.;0.5;;2025-06-25 03:24:34
DNA polymerase;replication;neutral;;;;;18;BERT;RGAT;synthesize;Test experiment 2 with rgat;DNA polymerase synthesizes new DNA strands during replication.;0.5;;2025-06-25 03:24:34
new DNA strands;DNA polymerase;neutral;;;;;18;BERT;RGAT;synthesize;Test experiment 2 with rgat;DNA polymerase synthesizes new DNA strands during replication.;0.5;;2025-06-25 03:24:34
new DNA strands;replication;neutral;;;;;18;BERT;RGAT;during;Test experiment 2 with rgat;DNA polymerase synthesizes new DNA strands during replication.;0.5;;2025-06-25 03:24:34
replication;new DNA strands;neutral;;;;;18;BERT;RGAT;during;Test experiment 2 with rgat;DNA polymerase synthesizes new DNA strands during replication.;0.5;;2025-06-25 03:24:34
Mitochondria;ATP;neutral;;;;;19;BERT;RGCN;produce;Test experiment 3 with rgcn;Mitochondria produce ATP through cellular respiration processes.;0.5;;2025-06-25 03:24:34
Mitochondria;ATP;neutral;;;;;19;BERT;RGCN;produce;Test experiment 3 with rgcn;Mitochondria produce ATP through cellular respiration processes.;0.5;;2025-06-25 03:24:34
Mitochondria;cellular respiration processes;neutral;;;;;19;BERT;RGCN;produce;Test experiment 3 with rgcn;Mitochondria produce ATP through cellular respiration processes.;0.5;;2025-06-25 03:24:34
ATP;Mitochondria;neutral;;;;;19;BERT;RGCN;produce;Test experiment 3 with rgcn;Mitochondria produce ATP through cellular respiration processes.;0.5;;2025-06-25 03:24:34
ATP;cellular respiration processes;neutral;;;;;19;BERT;RGCN;through;Test experiment 3 with rgcn;Mitochondria produce ATP through cellular respiration processes.;0.5;;2025-06-25 03:24:34
cellular respiration processes;Mitochondria;neutral;;;;;19;BERT;RGCN;produce;Test experiment 3 with rgcn;Mitochondria produce ATP through cellular respiration processes.;0.5;;2025-06-25 03:24:34
cellular respiration processes;ATP;neutral;;;;;19;BERT;RGCN;through;Test experiment 3 with rgcn;Mitochondria produce ATP through cellular respiration processes.;0.5;;2025-06-25 03:24:34
Mitochondria;ATP;neutral;;;;;20;BERT;COMPGCN;produce;Test experiment 3 with compgcn;Mitochondria produce ATP through cellular respiration processes.;0.5;;2025-06-25 03:24:34
Mitochondria;ATP;neutral;;;;;20;BERT;COMPGCN;produce;Test experiment 3 with compgcn;Mitochondria produce ATP through cellular respiration processes.;0.5;;2025-06-25 03:24:34
Mitochondria;cellular respiration processes;neutral;;;;;20;BERT;COMPGCN;produce;Test experiment 3 with compgcn;Mitochondria produce ATP through cellular respiration processes.;0.5;;2025-06-25 03:24:34
ATP;Mitochondria;neutral;;;;;20;BERT;COMPGCN;produce;Test experiment 3 with compgcn;Mitochondria produce ATP through cellular respiration processes.;0.5;;2025-06-25 03:24:34
ATP;cellular respiration processes;neutral;;;;;20;BERT;COMPGCN;through;Test experiment 3 with compgcn;Mitochondria produce ATP through cellular respiration processes.;0.5;;2025-06-25 03:24:34
cellular respiration processes;Mitochondria;neutral;;;;;20;BERT;COMPGCN;produce;Test experiment 3 with compgcn;Mitochondria produce ATP through cellular respiration processes.;0.5;;2025-06-25 03:24:34
